Date,Total_PnL,Avg_PnL,Total_Volume,Trade_Count,Win_Rate,value,classification
2023-01-05,0.0,0.0,477.0,3,0.0,29,Fear
2023-05-12,0.0,0.0,50005.83,9,0.0,49,Neutral
2024-01-01,-129.53146,-7.196192222222223,264239.52999999997,18,0.05555555555555555,65,Greed
2024-01-02,0.0,0.0,2008.18,6,0.0,71,Greed
2024-01-03,8244.241409,60.176944591240876,472974.7,137,0.9343065693430657,70,Greed
2024-01-04,2507.963406,32.57095332467532,339470.47,77,0.5454545454545454,68,Greed
2024-01-05,0.0,0.0,87025.45,14,0.0,72,Greed
2024-01-06,91.510419,3.66041676,12834.62,25,0.36,70,Greed
2024-01-07,5065.839308,79.1537391875,362670.14999999997,64,0.40625,71,Greed
2024-01-08,167.080017,2.9312283684210527,227774.53,57,0.07017543859649122,71,Greed
2024-01-09,137.433093,11.452757750000002,12359.68,12,0.4166666666666667,76,Extreme Greed
2024-01-10,0.0,0.0,139954.32,4,0.0,73,Greed
2024-01-11,1040.475736,45.238075478260875,260981.03,23,0.2608695652173913,76,Extreme Greed
2024-01-12,40886.364494,98.28453003365385,814711.82,416,0.53125,71,Greed
2024-02-01,783.979116,46.11641858823529,121348.74,17,0.47058823529411764,63,Greed
2024-02-02,456.423473,10.867225547619048,474278.43,42,0.30952380952380953,63,Greed
2024-02-03,230.90060000000005,7.448406451612905,63197.56,31,0.6774193548387096,60,Greed
2024-02-04,883.760812,21.555141756097562,239664.50999999998,41,0.2926829268292683,60,Greed
2024-02-06,192.906947,2.074268247311828,29464.51,93,0.3655913978494624,64,Greed
2024-02-07,2421.253116,134.514062,33347.47,18,0.7222222222222222,62,Greed
2024-02-08,782.3681909999999,12.418542714285714,396320.37,63,0.2698412698412698,66,Greed
2024-02-09,0.0,0.0,30000.42,2,0.0,72,Greed
2024-02-10,0.0,0.0,99954.34,4,0.0,74,Greed
2024-02-11,0.0,0.0,40000.0,2,0.0,71,Greed
2024-02-12,18489.604313,68.48001597407408,585243.56,270,0.4074074074074074,70,Greed
2024-03-01,866.015507,12.925604582089552,394499.36,67,0.417910447761194,80,Extreme Greed
2024-03-02,223.30918699999998,3.9876640535714283,603820.0,56,0.10714285714285714,80,Extreme Greed
2024-03-03,8361.086245,105.83653474683545,390745.68,79,0.6835443037974683,83,Extreme Greed
2024-03-04,126.7884,31.6971,16887.57,4,0.25,82,Extreme Greed
2024-03-05,5306.017045,147.3893623611111,282682.64999999997,36,0.4722222222222222,90,Extreme Greed
2024-03-06,562.808208,8.040117257142859,21466.86,70,0.6285714285714286,75,Extreme Greed
2024-03-07,1118.387284,62.132626888888886,179600.66,18,0.2222222222222222,82,Extreme Greed
2024-03-08,464.1897,12.545667567567568,290532.86,37,0.02702702702702703,81,Extreme Greed
2024-03-10,100.375782,11.152864666666666,132935.69,9,0.3333333333333333,79,Extreme Greed
2024-03-11,0.0,0.0,129055.66,6,0.0,82,Extreme Greed
2024-03-12,23576.539285,63.03887509358289,1084666.53,374,0.4304812834224599,81,Extreme Greed
2024-04-01,-67.60364,-13.520728,99792.54000000001,5,0.0,79,Extreme Greed
2024-04-02,47.62389499999999,1.360682714285714,203187.53,35,0.2571428571428571,79,Extreme Greed
2024-04-03,27799.775742,92.66591914,1577996.87,300,0.8866666666666667,71,Greed
2024-04-04,0.0,0.0,95987.73,32,0.0,70,Greed
2024-04-05,0.0,0.0,58998.75,9,0.0,79,Extreme Greed
2024-04-06,52.211438,0.9851214716981133,24243.41,53,0.4716981132075472,75,Extreme Greed
2024-04-07,0.0,0.0,430568.01,25,0.0,78,Extreme Greed
2024-04-08,-122672.000883,-965.9212667952756,1207744.07,127,0.023622047244094488,76,Extreme Greed
2024-04-09,1065.785132,31.346621529411763,131480.97,34,0.14705882352941177,80,Extreme Greed
2024-04-10,0.0,0.0,0.34,1,0.0,78,Extreme Greed
2024-04-11,2799.410474,77.76140205555555,451811.97,36,0.6388888888888888,76,Extreme Greed
2024-04-12,292891.815021,918.1561599404388,769287.65,319,0.46394984326018807,79,Extreme Greed
2024-05-01,164.141565,2.486993409090909,1703942.66,66,0.19696969696969696,54,Neutral
2024-05-02,-33.45419400000003,-0.4646415833333337,770198.26,72,0.19444444444444445,43,Fear
2024-05-03,19791.026041,109.95014467222222,841810.32,180,0.9055555555555556,48,Neutral
2024-05-04,10706.484306,107.06484306,503791.8,100,0.9,67,Greed
2024-05-05,0.916,0.15266666666666667,24068.350000000002,6,0.16666666666666666,69,Greed
2024-05-06,56.055506,1.038064925925926,25350.77,54,0.2962962962962963,71,Greed
2024-05-07,0.0,0.0,272289.89,32,0.0,68,Greed
2024-05-08,-13013.665169,-162.6708146125,420495.4,80,0.4125,64,Greed
2024-05-09,0.0,0.0,0.84,1,0.0,55,Greed
2024-05-10,5767.161892,155.86924032432432,605605.74,37,0.6486486486486487,66,Greed
2024-05-11,678.4759280000001,67.8475928,200627.23,10,0.5,53,Neutral
2024-05-12,71574.11848800001,156.96078615789474,1256750.79,456,0.4232456140350877,56,Greed
2024-06-01,135.58166400000002,6.16280290909091,298521.4,22,0.45454545454545453,72,Greed
2024-06-02,-215.615907,-0.19817638511029412,8047153.41,1088,0.1645220588235294,73,Greed
2024-06-03,6814.825139,83.10762364634145,327218.02,82,0.8780487804878049,73,Greed
2024-06-04,236.33513399999998,14.770945874999999,68223.67,16,0.25,73,Greed
2024-06-05,968.59038,107.62115333333333,206016.43,9,0.4444444444444444,75,Extreme Greed
2024-06-06,274.173187,1.1716802863247862,137557.76,234,0.42735042735042733,78,Extreme Greed
